 48 	computer science principles (.. data structures, numerical methods) generating optimization (.. linear programming) algorithms. includes issues Khachian (Russian, ellipsoidal) algorithm complexity algorithms.
 49 	role information retrieval knowledge based systems (.., expert systems).
 50 	Parallel processors information retrieval
 51 	Parallel processors paging algorithms
 52 	Modelling simulation agricultural ecosystems.
 53 	mathematical induction, group theory, integers modulo , probability, binomial coefficients, binomial theorem, homomorphism, morphism, transitivity, relations, relation matrix. Syracuse University, 313 Link Hall, Syracuse, . 13210
 54 	Semantics programming languages, including abstract specifications data types, denotational semantics, proofs correctness. Hoare, . Dijkstra, . University Massachusetts, Amherst, MA 01003
 55 	dealing star height regular languages regular expressions regular events.
 56 	Articles relation algebraic theory semigroups monoids study automata regular languages.
 57 	Abstracts articles: . Backus, " programming liberated Von Neumann style? functional style algebra programs", CACM 21 Re Millo, . Lipton, . Perlis, letter ACM Forum, CACM 22 (1979), 629-630 Backus, . De Millo, . Lipton, . Perlis, .
 58 	Algorithms statistical packages ANOVA, regression squares generalized linear models. System design, capabilities, statistical formula interest. Student' test, Wilcoxon sign tests, multivariate univariate components included.
 59 	Dictionary construction accessing methods fast retrieval words lexical items morphologically related information. Hashing indexing methods applied English spelling natural language problems.
 60 	Hardware software relating database management systems. Database packages, back end computers, special associative hardware microcomputers attached disk heads things RAP, relational network (CODASYL) hierarchical models, systems SYSTEM , IMS, ADABAS, TOTAL, .
 61 	Information retrieval articles Gerard Salton clustering, bibliographic coupling, citations co-citations, vector space model, Boolean search methods inverted , feedback, . Salton, .
 62 	Results relating parallel complexity theory ( PRAM' uniform circuits).
 63 	Algorithms parallel computation, especially comparisons parallel sequential algorithms.
 64 	List articles EL1 ECL (EL1 EL1; don' remember .
